timestamp,input_text,endpoint,summary,keywords,unique_terms,sentiment_label,sentiment_score,text_length,word_count
2025-11-18 10:55:53,"The exam questions covered very minor details that weren't emphasized in the lectures or readings, making it feel like a trick test",/analyze-all,"The exam questions covered very minor details that weren't emphasized in the lectures or readings,...","exam, questions, covered, minor, details, weren, emphasized, lectures, readings, making",14,POSITIVE,0.5262596267234035,131,22
2025-11-18 10:57:14,"The exam questions covered very minor details that weren't emphasized in the lectures or readings, making it feel like a trick test",/analyze-all,"The exam questions covered very minor details that weren't emphasized in the lectures or readings,...","exam, questions, covered, minor, details, weren, emphasized, lectures, readings, making",14,POSITIVE,0.5262596267234035,131,22
2025-11-18 10:58:19,"The lectures went way too fast, making it hard to take notes and process the information at the same time",/analyze-all,"The lectures went way too fast,...","lectures, way, fast, making, hard, take, notes, process, information, same",11,NEGATIVE,0.5421056540025195,105,20
2025-11-18 10:59:04,I really appreciated the small group activities; they helped me understand the concepts much better than just lectures,/analyze-all,I really appreciated the small group activities;...,"really, appreciated, small, group, activities, helped, understand, concepts, better, lectures",10,POSITIVE,0.5301903100292927,118,18
2025-11-18 11:00:25,There was a huge discrepancy between what we read in class and what was covered on the graded assignments; they didn't seem relevant to each other,/analyze-all,There was a huge discrepancy between what we read in class and what was covered on the graded assignments;...,"huge, discrepancy, between, read, class, covered, graded, assignments, didn, seem",11,POSITIVE,0.546718198603793,146,26
2025-11-18 11:01:57,I noticed that it's difficult to follow your line of reasoning in meetings,/analyze-all,I noticed that it's difficult to follow your line of reasoning in meetings,"noticed, difficult, follow, line, reasoning, meetings",6,NEGATIVE,0.502674698982023,74,13
2025-11-18 11:05:18,You seem disorganized and it's hard to follow the lesson when things are all over the place,/analyze-all,You seem disorganized and it's hard to follow the lesson when things are all over the place,"seem, disorganized, hard, follow, lesson, things, over, place",8,NEGATIVE,0.4953919016209999,91,17
2025-11-18 11:06:04,Assignments were confusing and the grading criteria were unclear,/analyze-all,Assignments were confusing and the grading criteria were unclear,"assignments, confusing, grading, criteria, unclear",5,NEGATIVE,0.4622867831510614,64,9
2025-11-18 11:06:53,he lectures were clear and engaging. The instructor provided helpful feedback,/analyze-all,he lectures were clear and engaging. The instructor provided helpful feedback,"lectures, clear, engaging, instructor, provided, helpful, feedback",7,POSITIVE,0.6081326256148907,77,11
2025-11-18 11:12:26,"You frequently don't have materials ready for class, and it slows down the lesson",/analyze-all,"You frequently don't have materials ready for class,...","frequently, don, materials, ready, class, slows, down, lesson",8,NEGATIVE,0.5461149924446999,81,14
2025-11-18 11:13:18,Your statistics and figures really showed how prepared you were,/analyze-all,Your statistics and figures really showed how prepared you were,"statistics, figures, really, showed, prepared",5,POSITIVE,0.5253246389071113,63,10
2025-11-18 11:56:25,The lectures were clear and engaging. The instructor provided helpful feedback.,/analyze-all,The lectures were clear and engaging. The instructor provided helpful feedback.,"lectures, clear, engaging, instructor, provided, helpful, feedback",7,POSITIVE,0.6037397878732224,79,11
2025-11-18 11:57:35,The lectures were clear and engaging. The instructor provided helpful feedback.,/predict,,,0,POSITIVE,0.6037397878732224,79,11
2025-11-18 11:57:42,The lectures were clear and engaging. The instructor provided helpful feedback.,/summarize,The lectures were clear and engaging. The instructor provided helpful feedback.,,0,,0,79,11
2025-11-18 11:57:45,The lectures were clear and engaging. The instructor provided helpful feedback.,/analyze,,"lectures, clear, engaging, instructor, provided, helpful, feedback",7,,0,79,11
2025-11-18 11:57:47,The lectures were clear and engaging. The instructor provided helpful feedback.,/predict,,,0,POSITIVE,0.6037397878732224,79,11
2025-11-18 14:02:46,Assignments were confusing and the grading criteria were unclear,/analyze-all,Assignments were confusing and the grading criteria were unclear,"assignments, confusing, grading, criteria, unclear",5,NEGATIVE,0.4622867831510614,64,9
2025-11-18 14:05:08,Assignments were confusing and the grading criteria were unclear,/analyze-all,Assignments were confusing and the grading criteria were unclear,"assignments, confusing, grading, criteria, unclear",5,NEGATIVE,0.4622867831510614,64,9
2025-11-18 14:06:09,The way you integrated three different scholarly sources in your second paragraph is exemplary; they perfectly support your claim.,/analyze-all,The way you integrated three different scholarly sources in your second paragraph is exemplary; they perfectly support your claim.,"way, integrated, three, different, scholarly, sources, second, paragraph, exemplary, perfectly",12,POSITIVE,0.5080960396739789,130,19
2025-11-18 14:06:20,This essay is logically structured; the transitions between your body paragraphs are smooth and effectively guide the reader.,/analyze-all,This essay is logically structured; the transitions between your body paragraphs are smooth and effectively guide the reader.,"essay, logically, structured, transitions, between, body, paragraphs, smooth, effectively, guide",11,POSITIVE,0.5134470699945313,125,18
2025-11-18 14:06:58,This essay is logically structured; the transitions between your body paragraphs are smooth and effectively guide the reader.,/summarize,This essay is logically structured; the transitions between your body paragraphs are smooth and effectively guide the reader.,,0,,0,125,18
2025-11-18 14:07:03,"The paper is chaotic and disorganized. There is no logical flow, and the paragraphs jump between unrelated topics.",/analyze-all,"The paper is chaotic and disorganized. There is no logical flow, and the paragraphs jump between unrelated topics.","paper, chaotic, disorganized, logical, flow, paragraphs, jump, between, unrelated, topics",10,NEGATIVE,0.4421467950640847,114,18
2025-11-18 14:07:54,"This paper demonstrates a masterful understanding of complex econometric models. Specifically, the section discussing the long-term elasticity of labor demand is exceptionally strong. You not only accurately define the concept but also skillfully integrate the findings from both Card and Krueger (1994) and Neumark and Wascher (2007) to build a nuanced argument. Your decision to focus on the impact on teen employment as a primary case study provided the necessary scope for deep analysis, preventi",/analyze-all,"This paper demonstrates a masterful understanding of complex econometric models. Specifically, the section discussing the long-term elasticity of labor demand is exceptionally strong.","argument, paper, demonstrates, masterful, understanding, complex, econometric, models, specifically, section",57,POSITIVE,0.5292269259934002,662,97
2025-11-18 14:07:56,"This paper demonstrates a masterful understanding of complex econometric models. Specifically, the section discussing the long-term elasticity of labor demand is exceptionally strong. You not only accurately define the concept but also skillfully integrate the findings from both Card and Krueger (1994) and Neumark and Wascher (2007) to build a nuanced argument. Your decision to focus on the impact on teen employment as a primary case study provided the necessary scope for deep analysis, preventi",/summarize,"This paper demonstrates a masterful understanding of complex econometric models. Specifically, the section discussing the long-term elasticity of labor demand is exceptionally strong.",,0,,0,662,97
2025-11-18 14:07:59,"This paper demonstrates a masterful understanding of complex econometric models. Specifically, the section discussing the long-term elasticity of labor demand is exceptionally strong. You not only accurately define the concept but also skillfully integrate the findings from both Card and Krueger (1994) and Neumark and Wascher (2007) to build a nuanced argument. Your decision to focus on the impact on teen employment as a primary case study provided the necessary scope for deep analysis, preventi",/analyze,,"argument, paper, demonstrates, masterful, understanding, complex, econometric, models, specifically, section",57,,0,662,97
2025-11-18 14:08:01,"This paper demonstrates a masterful understanding of complex econometric models. Specifically, the section discussing the long-term elasticity of labor demand is exceptionally strong. You not only accurately define the concept but also skillfully integrate the findings from both Card and Krueger (1994) and Neumark and Wascher (2007) to build a nuanced argument. Your decision to focus on the impact on teen employment as a primary case study provided the necessary scope for deep analysis, preventi",/predict,,,0,POSITIVE,0.5292269259934002,662,97
2025-11-18 14:08:16,"While your paper addresses the core topic of minimum wage impact, the analysis section needs significant development. Currently, the majority of the paper summarizes the arguments and methodologies of external scholars (e.g., repeating the findings of the Seattle Minimum Wage Study) rather than offering your own critical evaluation. You make a bold claim in your conclusion that minimum wage policy reduces income inequality, but the preceding paragraphs lack the logical data or theoretical framew",/analyze-all,"While your paper addresses the core topic of minimum wage impact, the analysis section needs significant development. Currently, the majority of the paper summarizes the arguments and methodologies of external scholars (e.g., repeating the findings of the Seattle Minimum Wage Study) rather than offering your own critical evaluation.","minimum, wage, claim, paper, conclusion, data, while, addresses, core, topic",63,NEGATIVE,0.5350619777199436,797,120
2025-11-18 14:08:19,"While your paper addresses the core topic of minimum wage impact, the analysis section needs significant development. Currently, the majority of the paper summarizes the arguments and methodologies of external scholars (e.g., repeating the findings of the Seattle Minimum Wage Study) rather than offering your own critical evaluation. You make a bold claim in your conclusion that minimum wage policy reduces income inequality, but the preceding paragraphs lack the logical data or theoretical framew",/summarize,"While your paper addresses the core topic of minimum wage impact, the analysis section needs significant development. Currently, the majority of the paper summarizes the arguments and methodologies of external scholars (e.g., repeating the findings of the Seattle Minimum Wage Study) rather than offering your own critical evaluation.",,0,,0,797,120
2025-11-18 14:08:24,"While your paper addresses the core topic of minimum wage impact, the analysis section needs significant development. Currently, the majority of the paper summarizes the arguments and methodologies of external scholars (e.g., repeating the findings of the Seattle Minimum Wage Study) rather than offering your own critical evaluation. You make a bold claim in your conclusion that minimum wage policy reduces income inequality, but the preceding paragraphs lack the logical data or theoretical framew",/predict,,,0,NEGATIVE,0.5350619777199436,797,120
2025-11-18 14:18:06,"An AI-powered web application for analyzing academic feedback, course notes, and student evaluations. Built with FastAPI, scikit-learn, and modern web technologies.",/analyze-all,"An AI-powered web application for analyzing academic feedback, course notes, and student evaluations. Built with FastAPI, scikit-learn, and modern web technologies.","web, powered, application, analyzing, academic, feedback, course, notes, student, evaluations",16,POSITIVE,0.5159784606877168,164,21
2025-11-18 14:18:10,"An AI-powered web application for analyzing academic feedback, course notes, and student evaluations. Built with FastAPI, scikit-learn, and modern web technologies.",/analyze-all,"An AI-powered web application for analyzing academic feedback, course notes, and student evaluations. Built with FastAPI, scikit-learn, and modern web technologies.","web, powered, application, analyzing, academic, feedback, course, notes, student, evaluations",16,POSITIVE,0.5159784606877168,164,21
2025-11-18 14:18:19,"An AI-powered web application for analyzing academic feedback, course notes, and student evaluations. Built with FastAPI, scikit-learn, and modern web technologies.",/analyze-all,"An AI-powered web application for analyzing academic feedback, course notes, and student evaluations. Built with FastAPI, scikit-learn, and modern web technologies.","web, powered, application, analyzing, academic, feedback, course, notes, student, evaluations",16,POSITIVE,0.5159784606877168,164,21
2025-11-18 14:18:51,"An AI-powered web application for analyzing academic feedback, course notes, and student evaluations. Built with FastAPI, scikit-learn, and modern web technologies.",/analyze-all,"An AI-powered web application for analyzing academic feedback, course notes, and student evaluations. Built with FastAPI, scikit-learn, and modern web technologies.","web, powered, application, analyzing, academic, feedback, course, notes, student, evaluations",16,POSITIVE,0.5159784606877168,164,21
